,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
210,24.5,0.0,2.0,7.0,1.0,1,1.0,13,24,2,0,0,0,0.0,NaN,0,0
211,15.0,1.0,1.0,7.0,1.0,3,0.0,17,0,0,0,0,0,0.0,0,0,0
212,15.0,0.0,1.0,1.0,1.0,1,1.0,0,84,1,1,11,156,,NaN,26,14
213,14.0,1.0,2.0,7.0,0.0,1,0.0,13,0,0,0,0,0,0.0,0,0,0
214,12.0,1.0,2.0,1.0,0.0,1,0.0,13,0,0,0,0,0,0.0,0,0,0
215,42.5,0.0,3.0,1.0,0.0,2,1.0,16,52,2,1,24,0,0.0,NaN,0,0
216,16.0,1.0,2.0,1.0,1.0,3,0.0,0,0,0,0,0,0,0.0,25,0,0
217,12.0,0.0,4.0,6.0,0.0,3,0.0,19,0,0,0,0,0,0.0,0,0,0
218,32.5,0.0,4.0,7.0,0.0,1,1.0,18,0,0,0,0,0,0.0,NaN,0,0
219,42.5,1.0,3.0,4.0,0.0,1,1.0,15,52,0,1,17,0,,NaN,0,0
220,57.5,1.0,1.0,2.0,1.0,2,1.0,18,260,5,1,16,36,,NaN,30,17
221,19.0,1.0,4.0,1.0,0.0,2,1.0,12,52,8,0,0,0,0.0,NaN,0,0
222,19.0,0.0,1.0,6.0,0.0,3,1.0,16,4,2,1,19,2,0.0,NaN,0,0
223,22.5,0.0,4.0,1.0,0.0,1,1.0,10,24,0,0,0,0,,NaN,0,0
224,14.0,1.0,2.0,6.0,0.0,2,0.0,16,0,0,1,14,1,0.0,0,0,0
225,14.0,0.0,2.0,1.0,1.0,2,0.0,9,0,0,0,0,0,0.0,0,0,0
226,21.0,0.0,1.0,7.0,0.0,1,1.0,0,260,8,1,14,260,,NaN,5,0
227,24.5,0.0,2.0,1.0,0.0,2,1.0,12,12,0,0,0,0,,NaN,0,0
228,19.0,0.0,1.0,2.0,1.0,1,0.0,15,0,0,0,0,0,0.0,NaN,0,0
229,24.5,1.0,1.0,2.0,0.0,1,1.0,17,72,2,1,19,240,,NaN,12,0
230,15.0,1.0,4.0,7.0,0.0,1,1.0,0,0,0,1,14,1,,NaN,0,0
231,22.5,0.0,4.0,1.0,0.0,2,1.0,0,120,3,0,0,0,0.0,NaN,0,0
232,24.5,1.0,1.0,1.0,0.0,1,1.0,16,12,8,0,0,0,0.0,NaN,0,0
233,21.0,0.0,2.0,1.0,0.0,2,1.0,12,180,6,1,15,0,,NaN,30,15
234,42.5,0.0,4.0,1.0,0.0,3,1.0,17,96,2,0,0,0,,NaN,30,25
235,24.5,0.0,3.0,7.0,0.0,2,0.0,18,0,0,0,0,0,0.0,NaN,0,0
236,22.5,0.0,1.0,1.0,1.0,1,1.0,0,104,NaN,1,10,0,,NaN,30,12
