,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
187,21.0,1,2,2,0,1,2,0,0,0,0,1,18,0,0,0,0.0,NaN,0,0
188,70.0,0,1,1,0,3,4,1,25,0,0,0,0,0,0,0,,NaN,0,20
189,42.5,1,1,2,1,2,3,1,21,0,0,0,0,0,0,0,,NaN,0,18
190,18.0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
191,12.0,1,3,6,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
192,22.5,0,2,7,1,1,3,1,21,12,0,0,0,0,0,0,0.0,NaN,0,0
193,24.5,1,3,7,0,1,1,1,15,52,7,1,15,180,0,0,,NaN,0,0
194,22.5,1,1,7,1,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
195,16.0,1,4,1,0,1,99,1,10,52,4,1,16,4,0,0,0.0,0,0,0
196,12.0,1,3,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
197,17.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
198,12.0,1,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
199,27.5,0,4,1,0,1,1,1,16,24,0,1,16,0,0,0,,NaN,30,18
200,57.5,0,4,1,0,3,1,1,17,11,1,0,0,0,1,0,,NaN,0,0
201,42.5,1,3,1,0,3,1,1,16,52,2,0,0,0,0,0,,NaN,0,0
202,22.5,0,2,7,1,2,4,1,15,0,0,1,15,0,1,0,,NaN,0,0
203,18.0,0,2,7,1,1,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
204,27.5,1,3,1,0,1,1,1,17,156,6,1,16,10,1,20,,NaN,0,0
205,15.0,0,4,1,0,2,99,1,11,0,0,0,0,0,0,0,,NaN,0,0
206,57.5,0,2,1,0,2,2,1,18,312,3,0,0,0,0,0,,NaN,0,0
207,14.0,1,2,1,0,2,99,0,0,0,0,0,0,0,NaN,0,0.0,0,0,0
208,12.0,1,4,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,25,0,0
209,70.0,1,2,1,0,3,2,1,25,96,2,1,40,0,0,0,,NaN,0,19
210,22.5,1,2,2,0,1,3,1,13,5,0,1,14,24,0,0,,NaN,0,0
211,70.0,1,2,1,0,3,4,1,17,347,2,1,30,0,0,0,,NaN,0,17
212,15.0,0,3,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
213,15.0,0,2,1,0,1,99,1,13,5,NaN,1,13,104,1,10,,NaN,13,0
214,27.5,1,2,1,0,1,1,1,13,260,7,1,13,260,1,0,,NaN,30,17
215,19.0,0,1,1,1,2,4,1,16,96,4,1,17,15,0,0,0.0,NaN,0,0
216,15.0,0,4,1,0,3,99,0,0,0,0,1,15,2,0,0,0.0,25,0,0
217,70.0,1,3,1,0,3,4,1,19,0,0,0,0,0,0,0,,NaN,0,20
218,19.0,0,3,2,0,1,2,1,18,60,0,1,18,60,0,0,0.0,NaN,0,0
219,24.5,0,1,1,1,1,3,1,15,104,2,1,15,24,1,4,,NaN,30,18
220,27.5,0,4,1,0,2,2,1,18,36,1,0,0,0,0,0,,NaN,0,0
221,22.5,1,2,2,0,2,1,1,12,24,NaN,1,12,0,0,0,,NaN,30,16
222,57.5,0,2,1,0,3,2,1,16,104,3,1,27,0,0,0,,NaN,0,17
223,42.5,0,2,1,0,1,1,1,10,338,4,1,15,0,1,0,,NaN,8,14
224,32.5,1,1,2,1,2,3,1,16,0,0,1,12,0,0,0,,NaN,1,16
225,27.5,1,1,1,1,2,1,1,9,120,3,1,10,240,0,0,,NaN,30,10
226,12.0,1,3,7,0,1,99,0,0,0,0,1,12,3,0,0,0.0,25,0,0
227,24.5,1,4,1,0,2,1,1,12,12,0,1,12,0,0,0,,NaN,30,17
228,24.5,0,4,1,0,1,1,1,15,104,6,1,17,3,0,0,,NaN,0,0
229,24.5,0,1,7,0,1,2,1,17,156,1,1,16,9,0,0,,NaN,0,0
230,14.0,1,4,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
231,18.0,1,4,1,0,2,4,0,0,0,0,0,0,0,0,0,,NaN,0,0
232,70.0,1,4,1,1,1,4,1,16,0,0,0,0,0,0,0,,NaN,0,14
233,42.5,1,4,3,0,2,1,1,12,10,2,1,21,0,0,0,0.0,NaN,0,0
234,24.5,0,3,1,1,3,1,1,17,48,2,1,14,0,0,0,,NaN,0,0
235,70.0,0,2,6,0,2,4,1,18,156,0,0,0,0,1,0,,NaN,0,0
236,42.5,0,2,7,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
237,70.0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
238,42.5,1,3,7,1,2,1,1,21,104,6,1,25,0,0,0,,NaN,30,21
239,42.5,0,1,1,1,1,4,1,NaN,Not sure,1,0,0,0,0,0,0.0,NaN,0,0
240,27.5,0,2,1,1,3,1,1,21,4,0,0,0,0,0,0,,NaN,0,0
241,17.0,1,2,1,0,1,99,1,17,1,1,0,0,0,0,0,0.0,25,0,0
242,19.0,1,4,1,1,2,1,1,14,52,5,1,18,1,0,0,,NaN,0,0
243,32.5,0,2,1,1,2,4,1,18,3,0,0,0,0,0,0,,NaN,0,0
244,42.5,1,4,1,0,2,1,1,18,104,3,1,18,0,0,0,,NaN,0,0
245,20.0,0,1,2,1,2,4,1,18,52,0,0,0,0,0,0,,NaN,30,15
246,42.5,0,3,2,0,1,1,1,14,8,0,0,0,0,0,0,0.0,NaN,0,0
247,70.0,1,3,7,1,2,4,1,27,24,0,0,0,0,0,0,0.0,NaN,0,0
248,57.5,0,4,7,0,2,4,1,18,150,NaN,1,25,0,0,0,0.0,NaN,0,0
249,13.0,1,4,1,0,3,99,0,0,0,0,0,0,0,NaN,NaN,0.0,0,0,0
250,18.0,0,3,3,0,1,1,1,18,36,0,1,18,3,0,0,,NaN,30,17
251,57.5,0,4,5,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
252,42.5,0,4,1,0,2,1,1,16,156,1,1,21,0,0,0,,NaN,14,21
253,24.5,0,2,1,0,2,2,1,16,10,2,1,12,364,1,0,,NaN,30,17
254,32.5,1,3,1,0,2,1,1,15,104,3,1,15,312,0,0,,NaN,30,16
255,42.5,1,4,2,0,1,1,1,17,104,4,1,21,0,0,0,,NaN,4,0
256,42.5,0,4,1,0,3,1,1,16,36,5,1,16,0,0,0,,NaN,30,16
257,18.0,1,1,7,1,1,4,1,17,5,2,0,0,0,0,0,0.0,NaN,0,0
258,42.5,0,2,7,0,1,1,1,25,52,0,0,0,0,0,0,0.0,NaN,0,0
259,42.5,1,3,7,1,1,1,1,9,312,NaN,1,12,0,0,0,,NaN,20,0
260,21.0,1,2,1,0,3,1,1,20,3,1,0,0,0,0,0,0.0,NaN,0,0
261,32.5,1,4,7,1,1,1,1,21,72,2,0,0,0,0,0,0.0,NaN,0,0
262,32.5,0,2,1,1,2,2,1,13,10,0,1,13,0,1,0,,NaN,30,16
263,57.5,0,1,1,0,1,4,1,21,30,1,0,0,0,0,0,0.0,NaN,0,0
264,18.0,1,1,7,1,1,1,0,0,0,0,1,17,NaN,0,0,0.0,NaN,0,0
