,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
263,18.0,0,3,2,0,1.0,4,1,21,Not sure,1,1,16,NaN,1,0
264,32.5,0,2,1,0,1.0,1,1,0,52,1,0,0,0,0,0
265,42.5,1,2,2,0,1.0,1,0,14,0,0,0,0,0,0,0
266,57.5,0,4,1,0,2.0,4,1,23,156,1,0,0,0,0,0
267,14.0,1,2,7,0,1.0,99,0,0,0,0,0,0,0,0,0
268,21.0,0,1,1,0,2.0,2,1,14,2,0,0,0,0,0,0
269,32.5,0,4,7,1,1.0,4,1,17,3,0,0,0,0,0,0
270,13.0,1,2,1,1,2.0,99,0,15,0,0,0,0,0,0,0
271,70.0,0,3,1,0,1.0,4,1,17,72,1,1,20,0,1,0
272,13.0,0,2,1,0,2.0,99,0,15,0,0,0,0,0,0,0
273,13.0,1,2,1,0,2.0,99,0,17,0,0,0,0,0,NaN,0
274,12.0,1,2,7,0,1.0,99,0,13,0,0,0,0,0,0,0
275,27.5,0,2,1,0,2.0,4,1,16,1,0,0,0,0,0,0
276,42.5,1,4,1,0,1.0,1,1,18,0,0,0,0,0,0,0
277,24.5,0,2,6,1,3.0,4,1,0,48,3,0,0,0,0,0
278,70.0,1,2,1,0,2.0,2,1,16,0,0,0,0,0,0,0
279,20.0,1,4,1,0,1.0,1,1,18,2,0,0,0,0,0,0
280,70.0,0,4,5,0,1.0,4,1,14,52,2,1,20,0,0,0
281,57.5,1,3,1,0,2.0,1,1,10,24,1,1,16,0,0,0
282,24.5,1,1,1,0,1.0,1,1,21,60,7,0,0,0,0,0
283,32.5,1,4,1,0,2.0,1,1,0,48,15,1,13,60,1,2
284,12.0,1,2,2,0,2.0,99,0,0,0,0,0,0,0,Not sure,NaN
285,57.5,0,3,1,0,1.0,1,1,0,48,0,0,0,0,0,0
286,27.5,1,2,1,0,3.0,1,1,26,10,6,1,16,0,0,0
287,42.5,1,4,1,0,2.0,1,1,12,364,2,1,18,0,0,0
288,18.0,0,4,1,0,2.0,4,0,0,0,0,0,0,0,0,0
289,42.5,1,2,1,0,3.0,1,1,14,156,2,0,0,0,0,0
290,32.5,0,3,5,0,1.0,1,1,0,4,0,0,0,0,0,0
291,16.0,0,3,1,0,2.0,99,0,0,0,0,0,0,0,0,0
292,24.5,0,2,2,1,1.0,2,0,17,0,0,0,0,0,0,0
293,27.5,1,2,7,1,1.0,1,1,21,0,0,0,0,0,1,0
294,27.5,1,2,7,0,3.0,1,1,13,72,2,1,17,260,0,0
295,27.5,0,2,4,0,2.0,1,1,21,0,0,0,0,0,0,0
296,14.0,1,1,2,1,1.0,99,1,15,72,NaN,1,12,0,0,0
297,42.5,1,2,2,1,2.0,1,1,17,120,2,1,19,0,0,0
